RMA                 Product  Serial Number   Failure Code         City           Delivery Document  Failures
T2014010235447      03-02    L27616776       No Problem Found     Atlanta        B20140103168692    1
T2014010347670      04-02    K18325258       Electrical Problem   Atlanta        B20140108223415    1
T2014010445220      02-09    T56772370       Electrical Problem   Atlanta        B20140108212583    1
T2014010947675      04-02    F21172719       Electrical Problem   Los Angeles    B20140113223440    1
T2014011100538      02-09    R85231136       Software Problem     Atlanta        B20140116011641    1
T2014011245225      02-09    G75577037       Electrical Problem   New York       B20140123212601    1
T2014011320887      02-09    D11519114       No Problem Found     Atlanta        B20140114103457    1
T2014011329456      01-01    D55903123       No Problem Found     Chicago        B20140115141819    1
T2014011622766      01-09    J33212107       No Problem Found     Atlanta        B20140117111973    1
T2014011636634      02-09    D42777690       No Problem Found     New York       B20140117174120    1
T2014011739160      02-09    M67012628       Mechanical Problem   Atlanta        B20140123185430    1
T2014011839511      02-09    M45844183       Mechanical Problem   Atlanta        B20140121186981    1
T2014012645696      02-09    K58549283       Electrical Problem   Atlanta        B20140205214629    1
T2014013044388      03-09    R41780692       Electrical Problem   Los Angeles    B20140131208790    1
T2014013045928      02-09    B15015034       Electrical Problem   Los Angeles    B20140204215631    1
T2014013048409      02-03    A64457449       Electrical Problem   Los Angeles    B20140131226848    1
T2014020106252      01-02    C69906463       Software Problem     Atlanta        B20140206037417    1
T2014020300057      03-09    M42281998       Software Problem     Atlanta        B20140205009446    1
T2014020331074      01-09    P11177377       No Problem Found     Los Angeles    B20140204149025    1
T2014020345250      02-09    T11924262       Electrical Problem   Atlanta        B20140206212710    1
T2014020722976      01-02    K81533573       No Problem Found     Los Angeles    B20140210112862    1
T2014020739667      02-09    Q60211367       Mechanical Problem   Los Angeles    B20140218187645    1
T2014020746530      02-09    Q77721511       Electrical Problem   New York       B20140211218390    1
T2014020748794      02-01    A95268766       Electrical Problem   New York       B20140219228586    1
T2014020833459      01-02    Q55306254       No Problem Found     New York       B20140210159834    1
T2014021003365      02-02    N11796957       Software Problem     Atlanta        B20140213024458    1
T2014021327311      02-09    E81457144       No Problem Found     Los Angeles    B20140217132249    1
T2014021431383      01-09    M43627222       No Problem Found     Los Angeles    B20140217150402    1
T2014021652322      01-02    J71458510       Electrical Problem   Atlanta        B20140219244419    1
T2014022014729      03-09    C38920770       Optical Problem      New York       B20140224075556    1
T2014022020813      03-09    C82940738       No Problem Found     New York       B20140221103116    1
