RMA	Product	Serial Number	Failure Code	Start Date	Finish Date	Failures
E0480435	MO	S19145643	Electrical Problem	20141024	20141028	1
E0480450	PO	B38442188	Electrical Problem	20140113	20140114	1
E0480451	PO	J65077449	Electrical Problem	20141206	20141209	1
E0480500	CL	E83831708	Electrical Problem	20141210	20141212	1
E0480508	CL	C93485673	Electrical Problem	20141026	20141028	1
E0480536	CL	Q17856918	Electrical Problem	20140316	20140318	1
E0480550	CL	J98850342	Electrical Problem	20140111	20140113	1
E0480564	CO	Q35405015	Electrical Problem	20140210	20140212	1
E0480567	BH	E73244235	Electrical Problem	20141221	20141224	1
E0480574	CL	M72829938	Electrical Problem	20140822	20140827	1
E0480601	PL	B93482048	Electrical Problem	20141016	20141022	1
E0480606	PO	Q98551505	Electrical Problem	20140511	20140512	1
E0480636	CO	K83416740	Electrical Problem	20140717	20140722	1
E0480659	CO	H69721893	Electrical Problem	20140504	20140512	1
E0480684	CD	S86361922	Electrical Problem	20141102	20141103	1
E0480713	PO	N84892131	Electrical Problem	20140829	20140902	1
E0480723	CL	C84835949	Electrical Problem	20141220	20141222	1
E0480735	PO	J22363193	Electrical Problem	20141003	20141017	1
E0480739	CL	A23496610	Electrical Problem	20140424	20140425	1
E0480751	CD	S27045067	Electrical Problem	20140528	20140606	1
E0480818	MT	N93312146	Electrical Problem	20140829	20140903	1
E0480832	PO	N85946725	Electrical Problem	20140228	20140304	1
E0480842	CD	J59491441	Electrical Problem	20140604	20140606	1
E0480861	PO	B39462125	Electrical Problem	20140925	20140929	1
E0480879	CL	Q78888091	Electrical Problem	20140628	20140701	1
E0480913	CO	S68109514	Electrical Problem	20140305	20140310	1
E0480960	CD	P94590076	Electrical Problem	20140910	20140911	1
E0480969	CD	B31456080	Electrical Problem	20140118	20140122	1
E0480995	CL	M79006698	Electrical Problem	20141010	20141015	1
E0480999	PO	R62492270	Electrical Problem	20140820	20140902	1
E0481008	CD	H28410667	Electrical Problem	20140409	20140414	1
E0481019	CD	F81972052	Electrical Problem	20140918	20140919	1
E0481029	PO	T13056004	Electrical Problem	20140803	20140814	1
E0481032	MC	G79923519	Electrical Problem	20140112	20140123	1
E0481044	MT	P34800900	Electrical Problem	20140413	20140414	1
E0481106	PO	N32729738	Electrical Problem	20140713	20140714	1
E0481113	MT	Q81633425	Electrical Problem	20140716	20140728	1
E0481116	CD	C94620020	Electrical Problem	20140213	20140218	1
E0481134	CL	J23035508	Electrical Problem	20141219	20141229	1
E0481137	PO	E14236277	Electrical Problem	20140731	20140805	1
E0481143	MO	Q95161995	Electrical Problem	20140105	20140108	1
E0481171	CO	A37258717	Electrical Problem	20140926	20141001	1
E0481190	CO	P44808799	Electrical Problem	20141119	20141127	1
E0481200	BH	N57247674	Electrical Problem	20140312	20140313	1
E0481226	CO	H83015757	Electrical Problem	20141114	20141117	1
E0481240	CL	C54986872	Electrical Problem	20141121	20141125	1
E0481262	BH	Q61690666	Electrical Problem	20140305	20140310	1
E0481291	CL	R38593006	Electrical Problem	20141005	20141006	1
E0481295	PO	J80372270	Electrical Problem	20140713	20140716	1
E0481312	MC	F77941795	Electrical Problem	20141213	20141216	1
E0481349	PO	A88362372	Electrical Problem	20140620	20140623	1
E0481374	CL	J91056149	Electrical Problem	20140308	20140310	1
E0481401	PO	T90721139	Electrical Problem	20141206	20141209	1
E0481416	CL	C26175375	Electrical Problem	20140730	20140812	1
E0481437	MT	B29926499	Electrical Problem	20140928	20140930	1
E0481447	CO	F35347883	Electrical Problem	20141123	20141201	1
E0481450	CD	N26923341	Electrical Problem	20141016	20141021	1
E0481464	PO	A83593316	Electrical Problem	20140315	20140318	1
E0481470	CL	R17884689	Electrical Problem	20141203	20141204	1
E0481492	PO	D81020991	Electrical Problem	20141016	20141020	1
E0481502	CD	Q88652344	Electrical Problem	20140130	20140204	1
E0481504	CO	A51071002	Electrical Problem	20141211	20141212	1
E0481527	BH	N16888030	Electrical Problem	20140305	20140310	1
E0481549	MC	R88612792	Electrical Problem	20140125	20140129	1
E0481574	PO	B50435044	Electrical Problem	20140910	20140915	1
E0481579	CO	Q68946816	Electrical Problem	20141202	20141205	1
E0481610	CO	S35295924	Electrical Problem	20140111	20140122	1
E0481631	MO	D79431149	Electrical Problem	20141123	20141201	1
E0481633	CO	R16319345	Electrical Problem	20140719	20140722	1
E0481710	MC	L22520914	Electrical Problem	20140706	20140714	1
E0481711	PO	M81731778	Electrical Problem	20140301	20140305	1
E0481723	CD	F93256922	Electrical Problem	20140328	20140401	1
E0481734	CO	Q36996028	Electrical Problem	20140208	20140212	1
E0481742	CD	R52380028	Electrical Problem	20140612	20140617	1
E0481745	CL	B76938858	Electrical Problem	20140315	20140328	1
E0481773	PO	H86753099	Electrical Problem	20140824	20140826	1
E0481779	PI	N97700758	Electrical Problem	20140724	20140804	1
E0481787	PO	L80955023	Electrical Problem	20140713	20140722	1
E0481804	PD	G57966614	Electrical Problem	20140501	20140509	1
E0481819	BO	A40422931	Electrical Problem	20140829	20140901	1
E0481833	CD	F95060027	Electrical Problem	20141221	20141230	1
E0481873	CL	P23481328	Electrical Problem	20140605	20140609	1
E0481885	PI	K50951611	Electrical Problem	20140705	20140707	1
E0481896	PO	B26619250	Electrical Problem	20140208	20140212	1
E0481903	PO	S98466323	Electrical Problem	20141121	20141201	1
E0481919	CL	K48848841	Electrical Problem	20140904	20140908	1
E0481926	PO	J47156292	Electrical Problem	20141012	20141015	1
E0481937	CL	L21154981	Electrical Problem	20140604	20140611	1
E0481951	CL	C94369057	Electrical Problem	20141213	20141216	1
E0481966	PO	L36523043	Electrical Problem	20140320	20140403	1
E0481967	CL	G20536565	Electrical Problem	20140516	20140520	1
E0481975	PO	B14568355	Electrical Problem	20141107	20141111	1
E0481987	PO	B18407055	Electrical Problem	20140418	20140423	1
E0482036	PO	N92502592	Electrical Problem	20140529	20140609	1
E0482047	MC	H39302198	Electrical Problem	20140919	20140922	1
E0482054	CL	N76902198	Electrical Problem	20140104	20140109	1
E0482066	BH	J53646821	Electrical Problem	20140706	20140708	1
E0482077	PO	A40653170	Electrical Problem	20140919	20140923	1
E0482091	MC	D97531878	Electrical Problem	20140307	20140312	1
E0482097	CL	G50518657	Electrical Problem	20140109	20140120	1
E0482112	MO	P64485901	Electrical Problem	20141203	20141205	1
E0482123	CL	K14837372	Electrical Problem	20141219	20141231	1
E0482137	CL	H61531446	Electrical Problem	20140213	20140217	1
E0482140	CL	D93610288	Electrical Problem	20140130	20140131	1
E0482145	CL	P16667006	Electrical Problem	20141025	20141027	1
E0482156	PO	L92001414	Electrical Problem	20140320	20140325	1
E0482168	CL	K19924962	Electrical Problem	20140720	20140724	1
E0482179	PO	K56237387	Electrical Problem	20140223	20140227	1
E0482244	CD	E59425555	Electrical Problem	20140216	20140217	1
E0482271	MT	P28441827	Electrical Problem	20140907	20140916	1
E0482293	BH	B63196781	Electrical Problem	20140625	20140630	1
E0482307	CD	B51682890	Electrical Problem	20141218	20141219	1
E0482342	CL	C54676912	Electrical Problem	20141018	20141027	1
E0482349	PO	L33718160	Electrical Problem	20140503	20140506	1
E0482385	BH	S45957691	Electrical Problem	20140210	20140214	1
E0482396	PO	K51593586	Electrical Problem	20140420	20140421	1
E0482408	CO	B75476014	Electrical Problem	20140717	20140722	1
E0482424	MO	B62645430	Electrical Problem	20141116	20141118	1
E0482441	MO	E89808165	Electrical Problem	20141009	20141020	1
E0482456	BH	F99801932	Electrical Problem	20140118	20140122	1
E0482462	CL	K44595680	Electrical Problem	20141030	20141103	1
E0482489	CL	P95784963	Electrical Problem	20141101	20141105	1
E0482527	PO	K54821367	Electrical Problem	20140607	20140618	1
E0482547	CD	F86094317	Electrical Problem	20140330	20140402	1
E0482573	MC	T82770341	Electrical Problem	20140510	20140519	1
E0482585	MO	Q46149577	Electrical Problem	20141001	20141002	1
E0482606	CL	B36490943	Electrical Problem	20140306	20140307	1
E0482625	CS	Q30088522	Electrical Problem	20141213	20141225	1
E0482637	CL	E55866448	Electrical Problem	20140802	20140806	1
E0482662	MO	F73868165	Electrical Problem	20140208	20140212	1
E0482682	CL	G79811556	Electrical Problem	20140509	20140522	1
E0482691	MO	B52959594	Electrical Problem	20140102	20140114	1
E0482705	CL	K74075728	Electrical Problem	20140817	20140820	1
E0482707	BO	S14222882	Electrical Problem	20140828	20140902	1
E0482713	CL	B29896788	Electrical Problem	20141005	20141006	1
E0482715	CO	K99714129	Electrical Problem	20141106	20141111	1
E0482719	CO	K76206257	Electrical Problem	20141025	20141027	1
E0482724	PO	A74551637	Electrical Problem	20141207	20141210	1
E0482762	CL	G83147226	Electrical Problem	20140607	20140609	1
E0482802	CL	K64305740	Electrical Problem	20140326	20140327	1
E0482804	PO	K73050109	Electrical Problem	20140614	20140618	1
E0482811	PI	T41450746	Electrical Problem	20140719	20140725	1
E0482846	CD	F43579639	Electrical Problem	20141106	20141120	1
E0482858	PO	T77012211	Electrical Problem	20140911	20140912	1
